0,55.4716920,10.3251712,25.90,130 
1,55.4716917,10.3251714,25.86,130 
2,55.4716937,10.3251704,25.10,87 
3,55.4719248,10.3242734,21.30,327 
4,55.4719345,10.3242625,21.59,327 
5,55.4719360,10.3242612,21.67,327 
6,55.4719411,10.3242384,22.05,329 
7,55.4721083,10.3241160,22.74,329 
8,55.4721129,10.3241104,22.93,327 
9,55.4721050,10.3240884,23.21,327 
10,55.4721042,10.3240835,23.25,328 
11,55.4721989,10.3239891,22.97,328 
12,55.4722211,10.3240436,23.12,326 
13,55.4721629,10.3240861,21.26,153 
14,55.4718323,10.3243087,18.80,255 
15,55.4718294,10.3243191,18.91,256 
16,55.4720642,10.3241723,19.92,308 
17,55.4721292,10.3240157,20.52,316 
18,55.4721431,10.3240054,30.88,326 
19,55.4721425,10.3240035,31.67,325 
20,55.4721670,10.3240264,31.79,325 
21,55.4721628,10.3240261,28.23,326 
22,55.4721050,10.3240924,22.96,326 
23,55.4721521,10.3240646,21.46,327 
24,55.4720462,10.3242474,20.54,321 
25,55.4720284,10.3242139,21.32,321 
26,55.4719714,10.3241944,23.27,321 
27,55.4720148,10.3242380,34.11,296 
28,55.4720137,10.3242376,35.16,296 
29,55.4720057,10.3243005,36.74,325 
30,55.4720057,10.3243009,36.74,322 
31,55.4718442,10.3243449,16.49,325 
