0,55.4718192,10.3250991,-0.23,115 
1,55.4718192,10.3250994,-0.02,115 
2,55.4718194,10.3250991,0.22,115 
3,55.4719725,10.3248963,9.50,320 
4,55.4719732,10.3248966,9.76,319 
5,55.4721120,10.3247692,12.92,353 
6,55.4721249,10.3247540,9.56,356 
7,55.4721366,10.3247411,9.08,1 
8,55.4718872,10.3250122,0.15,330 
9,55.4718881,10.3250125,-0.43,332 
10,55.4718880,10.3250162,0.37,333 
11,55.4719861,10.3248695,3.84,331 
12,55.4720843,10.3248005,8.49,340 
13,55.4720792,10.3246231,9.41,272 
14,55.4723647,10.3244937,16.82,326 
15,55.4719008,10.3250342,-0.58,155 
16,55.4719911,10.3249081,6.38,323 
17,55.4720409,10.3247815,6.37,322 
18,55.4723356,10.3244710,8.05,322 
19,55.4723404,10.3244695,7.98,9 
20,55.4723368,10.3244700,14.63,64 
21,55.4723366,10.3244698,14.84,64 
22,55.4725173,10.3243482,16.00,148 
23,55.4725165,10.3243498,15.99,149 
24,55.4725536,10.3242052,16.24,29 
25,55.4725540,10.3242043,16.30,29 
26,55.4725002,10.3238366,20.41,166 
27,55.4721819,10.3245941,15.47,334 
28,55.4719466,10.3250245,-0.50,326 
29,55.4719513,10.3250204,-0.61,326 
30,55.4719583,10.3250009,-0.64,324 
31,55.4719833,10.3249824,-1.09,322 
